id,neighbourhood_group,neighbourhood,room_type,minimum_nights,price,availability_365,latitude,longitude
387666,Manhattan,Washington Heights,Private room,30,74.0,110,40.83521,-73.93836
389482,Queens,Briarwood,Private room,30,75.0,365,40.71215,-73.81692
392948,Brooklyn,Williamsburg,Private room,30,55.0,335,40.70717,-73.95269
394111,Queens,Briarwood,Private room,30,75.0,365,40.71044,-73.81703
396636,Manhattan,Harlem,Entire home/apt,30,130.0,365,40.82903,-73.94204
397034,Manhattan,Upper West Side,Private room,30,126.0,365,40.78221,-73.98357
400078,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,300.0,337,40.69407,-73.94403
408983,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,30,415.0,348,40.65914535522461,-73.95812225341797
409262,Brooklyn,Boerum Hill,Entire home/apt,30,300.0,243,40.68561,-73.98919
411918,Brooklyn,Crown Heights,Entire home/apt,30,190.0,164,40.67128,-73.94307
413504,Brooklyn,Williamsburg,Private room,30,163.0,179,40.71294,-73.94461
416557,Brooklyn,Greenpoint,Entire home/apt,30,138.0,364,40.72292,-73.94577
417685,Brooklyn,South Slope,Entire home/apt,30,130.0,275,40.66481,-73.97776
423015,Brooklyn,Bedford-Stuyvesant,Private room,30,35.0,67,40.68877,-73.95408
423275,Queens,Astoria,Entire home/apt,30,150.0,363,40.76456,-73.91749
424767,Manhattan,Midtown,Entire home/apt,30,265.0,304,40.74311,-73.98303
425423,Bronx,Co-op City,Private room,30,37.0,347,40.86637,-73.82048
431865,Manhattan,Washington Heights,Entire home/apt,4,354.0,307,40.8341081,-73.93948379999999
432823,Brooklyn,Park Slope,Private room,30,250.0,363,40.67634,-73.97666
433414,Brooklyn,Clinton Hill,Entire home/apt,30,144.0,197,40.68566,-73.96781
550653,Brooklyn,Windsor Terrace,Private room,30,54.0,362,40.66014,-73.98311
552502,Brooklyn,Crown Heights,Private room,30,87.0,58,40.67808,-73.9573
552519,Brooklyn,Crown Heights,Entire home/apt,30,130.0,315,40.67382,-73.94012
552639,Manhattan,Harlem,Entire home/apt,3,275.0,129,40.81711,-73.94736
553872,Manhattan,Harlem,Private room,30,120.0,90,40.82193,-73.94175
553903,Manhattan,Harlem,Private room,30,125.0,244,40.822964,-73.942474
560078,Manhattan,East Village,Private room,30,230.0,237,40.72369,-73.97849
568661,Brooklyn,Bushwick,Entire home/apt,30,90.0,1,40.70783,-73.92071
570797,Manhattan,Hell's Kitchen,Private room,30,175.0,274,40.76119,-73.99225
571564,Brooklyn,Crown Heights,Private room,30,82.0,60,40.67432,-73.94744
573671,Brooklyn,Bedford-Stuyvesant,Private room,30,90.0,364,40.68634,-73.95055
576227,Manhattan,Harlem,Entire home/apt,30,230.0,327,40.82274,-73.95408
578267,Manhattan,Two Bridges,Private room,30,91.0,63,40.71271,-73.99534
581488,Brooklyn,Williamsburg,Entire home/apt,30,282.0,363,40.71583,-73.96277
582372,Queens,Astoria,Private room,365,65.0,234,40.77266,-73.92268
587698,Brooklyn,Gravesend,Private room,30,117.0,365,40.60402,-73.97038
587740,Manhattan,SoHo,Entire home/apt,30,180.0,120,40.72215,-74.00416
